"Drug ID" "Drug Name" "Synonyms" "Target" "Target Pathway"
"1" 9 "MG-132" "LLL cpd, MG 132, MG132" "Proteasome, CAPN1" "Protein stability and degradation"
"2" 51 "Dasatinib" "BMS-354825-03, BMS-354825, Sprycel" "ABL, SRC, Ephrins, PDGFR, KIT" "Other"
"3" 83 "JW-7-52-1" "NA" "MTOR" "PI3K/MTOR signaling"
"4" 86 "A-443654" "KIN001-139" "AKT1, AKT2, AKT3" "PI3K/MTOR signaling"
"5" 135 "Gemcitabine" "Gemzar, LY-188011" "Pyrimidine antimetabolite" "DNA replication"
"6" 153 "Midostaurin" "PKC412, benzoylstaurosporine, CGP-41251" "PKC, PPK, FLT1, c-FGR, others" "Other"
"7" 155 "Ponatinib" "AP24534, AP-24534, KIN001-192, Iclusig" "ABL, PDGFRA, VEGFR2, FGFR1, SRC, TIE2, FLT3" "RTK signaling"
"8" 252 "WZ3105" "-" "SRC, ROCK2, NTRK2, FLT3, IRAK1, others" "Other"
"9" 312 "Tivozanib" "AV-951, AV 951, KRN-951, KIL8951, ASP-4130" "VEGFR1, VEGFR2, VEGFR3" "RTK signaling"
"10" 1022 "AZD7762" "AZD-7762, AZD 7762" "CHEK1, CHEK2" "Cell cycle"
"11" 1024 "Lestauritinib" "CEP-701, SP-924, SPM-924, A-154475, KT-555" "FLT3, JAK2, NTRK1, NTRK2, NTRK3" "Other, kinases"
"12" 1032 "Afatinib" "BIBW2992, Tovok, Gilotrif" "ERBB2, EGFR" "EGFR signaling"
"13" 1230 "IOX2" "IOX-2, IOX 2, AK176060" "EGLN1" "Other"
"14" 1248 "Daporinad" "APO866,  FK866, FK866" "NAMPT" "Metabolism"
"15" 1372 "Trametinib" "GSK1120212, Mekinist" "MEK1, MEK2" "ERK MAPK signaling"
"16" 1529 "Pevonedistat" "MLN4924, MLN 4924, MLN-4924" "NAE" "Other"
